code,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,mcc,support_true,support_pred
C9_Regulatory_Mandatory_action_plan,11,0,0,0,0.9999999999999091,0.9999999999999091,0.0,0.9999999999994091,0.9999999999999091,0.49999999999995454,0.0,11,11
C9_Regulatory_Ban,7,0,0,4,0.9999999999998571,0.9999999999998571,0.99999999999975,0.9999999999993572,0.9999999999999091,0.9999999999998035,0.9999999999999644,7,7
C9_Regulatory_Moratorium,1,0,0,10,0.9999999999989999,0.9999999999989999,0.9999999999999,0.9999999999984999,0.9999999999999091,0.99999999999945,0.9999999999999,1,1
C9_Soft_Voluntary_labelling,1,0,0,10,0.9999999999989999,0.9999999999989999,0.9999999999999,0.9999999999984999,0.9999999999999091,0.99999999999945,0.9999999999999,1,1
O : C5 Objectives - protect biodiversity and (marine) environment,10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
P : Mentioned,10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
AN : 3. Downstream,10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
AO : 4. Cross value chain,10,0,1,0,0.9999999999999,0.9090909090908265,0.0,0.9523809523803628,0.9090909090908265,0.45454545454541323,0.0,11,10
L : C4 Objectives - protect human health,9,1,0,1,0.89999999999991,0.9999999999998889,0.49999999999975,0.9473684210520332,0.9090909090908265,0.7499999999998195,0.6708203932498868,9,10
M : Mentioned,9,1,0,1,0.89999999999991,0.9999999999998889,0.49999999999975,0.9473684210520332,0.9090909090908265,0.7499999999998195,0.6708203932498868,9,10
AL : 1. Upstream,9,1,0,1,0.89999999999991,0.9999999999998889,0.49999999999975,0.9473684210520332,0.9090909090908265,0.7499999999998195,0.6708203932498868,9,10
C9_Regulatory_Performance_standard,9,0,1,1,0.9999999999998889,0.89999999999991,0.9999999999989999,0.9473684210520332,0.9090909090908265,0.949999999999455,0.6708203932498868,10,9
C9_Regulatory_EPR,7,1,0,3,0.8749999999998906,0.9999999999998571,0.7499999999998125,0.9333333333327111,0.9090909090908265,0.8749999999998348,0.8100925873009514,7,8
C9_Regulatory_Mandatory_labelling,6,0,1,4,0.9999999999998334,0.8571428571427346,0.99999999999975,0.9230769230762839,0.9090909090908265,0.9285714285712423,0.8280786712107966,7,6
AM : 2. Midstream,9,2,0,0,0.8181818181817438,0.9999999999998889,0.0,0.8999999999994149,0.8181818181817438,0.49999999999994443,0.0,9,11
"C9_Soft_Assessment,_monitoring_and_evaluation",9,1,1,0,0.89999999999991,0.89999999999991,0.0,0.8999999999994099,0.8181818181817438,0.449999999999955,-0.09999999999999,10,10
A : C1 Objectives - end plastic pollution,8,3,0,0,0.7272727272726611,0.999999999999875,0.0,0.8421052631573185,0.7272727272726611,0.4999999999999375,0.0,8,11
C9_Regulatory_Mandatory_reports,8,3,0,0,0.7272727272726611,0.999999999999875,0.0,0.8421052631573185,0.7272727272726611,0.4999999999999375,0.0,8,11
